Episode,Reward,Loss,Entropy
726,11,1.5519,1.1799
727,21,1.7785,1.3051
728,21,2.9966,1.3922
729,21,4.8659,1.0853
730,36,7.0839,1.3212
731,11,11.8831,1.3207
732,26,4.7138,1.4024
733,21,5.4186,1.3258
734,36,1.8238,1.1347
735,81,4.3047,1.0784
736,21,3.4428,1.2949
737,21,3.1198,1.2366
738,56,1.9462,1.2134
739,21,0.9370,1.1750
740,26,6.9908,1.1186
741,11,6.8178,1.1904
742,36,2.6820,1.0752
743,11,3.2749,1.2933
744,61,3.6882,1.1596
745,11,13.0035,1.1809
746,21,0.9325,1.4855
747,21,4.1234,1.4562
748,46,10.8179,1.3368
749,21,3.3765,1.3509
750,1,22.4399,1.3409
751,21,7.3836,1.3801
752,36,4.0462,1.2716
753,11,4.4688,1.4054
754,1,11.2128,0.9949
755,-9,21.0923,1.3064
756,46,3.9006,1.0861
757,21,5.2824,1.3846
758,1,14.2280,1.0810
759,46,7.7034,1.1336
760,1,13.4906,1.2063
761,36,2.9336,1.1273
762,11,4.1864,1.0487
763,36,10.8760,1.1960
764,46,2.6433,1.2547
765,11,17.9304,1.3525
766,21,2.6345,1.0994
767,1,10.9082,1.6000
768,1,5.0342,1.2268
769,21,1.6697,1.3459
770,11,4.5726,1.3108
771,36,3.3380,1.2407
772,11,2.2927,1.1551
773,36,5.9798,1.2589
774,21,7.0235,1.5312
775,11,2.4141,1.1128
776,11,5.4060,1.0470
777,26,12.1307,1.3940
778,46,11.7331,1.3912
779,21,3.0596,1.1611
780,36,3.9993,0.8997
781,36,3.6425,1.2061
782,46,2.0383,0.9921
783,46,4.4942,1.0247
784,36,1.4781,1.0320
785,46,5.0365,1.0868
786,11,7.0770,1.1219
787,36,8.7947,1.3117
788,36,4.3096,1.1042
789,1,10.0718,1.1700
790,36,1.8287,1.1158
791,-9,11.1225,1.4115
792,21,1.2265,1.0098
793,46,1.1482,1.1594
794,1,9.7951,1.4181
795,11,1.9508,1.1989
796,26,4.7577,1.1766
797,46,4.2426,1.4025
798,21,3.4317,1.1820
799,-9,22.1521,1.3910
800,26,9.7665,1.1319
801,56,3.6057,1.0993
802,71,2.7571,0.9492
803,1,16.9849,1.0557
804,36,1.2878,1.1726
805,11,2.2132,1.1276
806,36,2.8289,1.3668
807,46,1.1899,1.2352
808,36,2.3410,1.0512
809,36,2.1302,1.2173
810,21,4.0052,1.4339
811,46,2.7484,1.1132
812,36,0.4346,1.2175
813,36,3.3046,1.3445
814,21,3.7756,1.2725
815,36,4.1554,1.1872
816,36,2.7348,1.2589
817,36,4.8530,1.0727
818,11,3.3309,1.2632
819,21,5.4189,1.4400
820,21,1.9932,1.3608
821,26,14.0978,1.0547
822,1,7.1047,1.1635
823,36,5.0610,1.2655
824,26,18.3504,1.0815
825,26,6.3192,1.1853
826,36,3.5239,1.2261
827,36,3.9518,1.0088
828,46,1.9963,0.9655
829,36,5.5528,1.3454
830,36,1.2712,1.0511
831,36,4.9234,1.0569
832,21,8.4016,1.3384
833,26,10.0352,1.2190
834,1,8.0570,1.0910
835,26,5.0981,1.0290
836,21,1.6876,1.1330
837,21,4.9642,1.0536
838,21,8.0279,1.3693
839,45,2.3595,1.1205
840,11,7.1897,1.4736
841,46,2.6953,1.1542
842,26,17.6210,1.1515
843,11,1.5178,1.1550
844,1,8.6182,1.4186
845,36,1.3200,1.0830
846,11,7.8357,1.1167
847,46,6.6905,1.1676
848,46,4.9028,1.2163
849,36,3.0079,1.2549
850,11,12.1135,1.1937
851,11,5.4003,1.3812
852,56,2.5794,1.0119
853,46,2.0175,1.0285
854,1,9.0234,1.1864
855,36,2.9623,0.9989
856,71,1.0848,1.1901
857,26,9.3427,1.2273
858,11,5.9235,1.0770
859,21,2.0521,1.0971
