Episode,Epsilon,Total_Reward,Barracks,TechLabs,Marauders,End_Loop,Reason,Is_Bottom_Right
202,0.818,100,0,0,0,20160,Done,False
203,0.817,200,0,0,0,20160,Done,False
204,0.816,100,0,0,0,20160,Done,False
205,0.815,100,0,0,0,20160,Done,False
206,0.815,200,0,0,0,20160,Done,False
207,0.814,200,0,0,0,20160,Done,False
208,0.813,100,0,0,0,20160,Done,False
209,0.812,400,0,0,0,20160,Done,False
210,0.811,200,0,0,0,20160,Done,False
211,0.810,200,0,0,0,20160,Done,False
212,0.810,200,0,0,0,20160,Done,False
213,0.809,200,0,0,0,20160,Done,False
214,0.808,200,0,0,0,20160,Done,False
215,0.807,100,0,0,0,20160,Done,False
216,0.806,100,0,0,0,20160,Done,False
217,0.806,200,0,0,0,20160,Done,False
218,0.805,200,0,0,0,20160,Done,False
219,0.804,200,0,0,0,20160,Done,False
220,0.803,200,0,0,0,20160,Done,False
221,0.802,200,0,0,0,20160,Done,False
222,0.802,0,0,0,0,20160,Done,False
223,0.801,0,0,0,0,20160,Done,False
224,0.800,0,0,0,0,20160,Done,False
225,0.799,200,0,0,0,20160,Done,False
226,0.798,100,0,0,0,20160,Done,False
227,0.798,200,0,0,0,20160,Done,False
228,0.797,200,0,0,0,20160,Done,False
229,0.796,200,0,0,0,20160,Done,False
230,0.795,200,0,0,0,20160,Done,False
231,0.794,100,0,0,0,20160,Done,False
232,0.794,50,0,0,0,20160,Done,False
233,0.793,200,0,0,0,20160,Done,False
234,0.792,200,0,0,0,20160,Done,False
235,0.791,0,0,0,0,20160,Done,False
236,0.790,200,0,0,0,20160,Done,False
237,0.790,0,0,0,0,20160,Done,False
238,0.789,200,0,0,0,20160,Done,False
239,0.788,200,0,0,0,20160,Done,False
240,0.787,200,0,0,0,20160,Done,False
241,0.787,200,0,0,0,20160,Done,False
242,0.786,200,0,0,0,20160,Done,False
243,0.785,100,0,0,0,20160,Done,False
244,0.784,200,0,0,0,20160,Done,False
245,0.783,200,0,0,0,20160,Done,False
246,0.783,200,0,0,0,20160,Done,False
247,0.782,200,0,0,0,20160,Done,False
248,0.781,200,0,0,0,20160,Done,False
249,0.780,200,0,0,0,20160,Done,False
250,0.779,100,0,0,0,20160,Done,False
251,0.779,50,0,0,0,20160,Done,False
252,0.778,200,0,0,0,20160,Done,False
253,0.777,100,0,0,0,20160,Done,False
254,0.776,100,0,0,0,20160,Done,False
255,0.776,100,0,0,0,20160,Done,False
256,0.775,200,0,0,0,20160,Done,False
257,0.774,400,0,0,0,20160,Done,False
258,0.773,200,0,0,0,20160,Done,False
259,0.772,200,0,0,0,20160,Done,False
260,0.772,200,0,0,0,20160,Done,False
261,0.771,200,0,0,0,19312,Done,False
262,0.770,50,0,0,0,20160,Done,False
263,0.769,100,0,0,0,20160,Done,False
264,0.769,0,0,0,0,20160,Done,False
265,0.768,100,0,0,0,20160,Done,False
266,0.767,100,0,0,0,20160,Done,False
267,0.766,200,0,0,0,20160,Done,False
268,0.766,50,0,0,0,20160,Done,False
269,0.765,200,0,0,0,13648,Done,False
270,0.764,200,0,0,0,20160,Done,False
271,0.763,100,0,0,0,20160,Done,False
272,0.763,100,0,0,0,20160,Done,False
273,0.762,200,0,0,0,20160,Done,False
274,0.761,50,0,0,0,20160,Done,False
275,0.760,100,0,0,0,20160,Done,False
276,0.759,50,0,0,0,20160,Done,False
277,0.759,0,0,0,0,20160,Done,False
278,0.758,100,0,0,0,20160,Done,False
279,0.757,200,0,0,0,20160,Done,False
280,0.756,200,0,0,0,20160,Done,False
281,0.756,50,0,0,0,20160,Done,False
282,0.755,200,0,0,0,20160,Done,False
283,0.754,200,0,0,0,20160,Done,False
284,0.753,200,0,0,0,20160,Done,False
285,0.753,100,0,0,0,20160,Done,False
286,0.752,100,0,0,0,20160,Done,False
287,0.751,100,0,0,0,20160,Done,False
288,0.750,100,0,0,0,20160,Done,False
289,0.750,1050,0,0,1,20160,Done,False
290,0.749,200,0,0,0,20160,Done,False
291,0.748,200,0,0,0,14336,Done,False
292,0.747,100,0,0,0,20160,Done,False
293,0.747,100,0,0,0,20160,Done,False
294,0.746,100,0,0,0,20160,Done,False
295,0.745,200,0,0,0,20160,Done,False
296,0.744,50,0,0,0,20160,Done,False
