Game_Loop,Minerals,Vespene,Workers,Ideal,Action_ID
4128.0,1045,140,15,19,5
4160.0,1045,140,16,19,3
4192.0,1070,144,16,19,3
4288.0,1110,148,16,19,0
4320.0,1130,148,16,19,1
4352.0,1140,148,16,19,6
4384.0,1150,152,16,19,0
4416.0,1170,152,16,19,5
4448.0,1190,156,16,19,4
4480.0,1195,156,16,19,4
4512.0,1215,156,16,19,3
4544.0,1230,160,16,19,3
4576.0,1245,160,16,19,6
4608.0,1255,160,16,19,7
4672.0,1290,164,16,16,8
4704.0,1305,164,16,19,5
4736.0,1315,168,16,19,1
4768.0,1330,168,16,19,0
4800.0,1345,172,16,19,3
4864.0,1380,172,16,16,8
4928.0,1400,176,16,19,5
4960.0,1425,176,16,19,7
4992.0,1440,180,16,19,2
5024.0,1455,180,16,19,3
5120.0,1495,184,16,19,0
5152.0,1510,188,16,19,6
5184.0,1530,188,16,19,0
5216.0,1545,188,16,19,7
5248.0,1555,192,16,19,7
5280.0,1575,192,16,19,3
5312.0,1590,192,16,19,7
5472.0,1655,200,16,19,1
5504.0,1675,204,16,19,8
5536.0,1695,204,16,16,7
5568.0,1710,204,16,16,0
5600.0,1720,208,16,16,0
5632.0,1735,208,16,16,5
5664.0,1750,208,16,16,8
5792.0,1810,216,16,16,9
5856.0,1445,220,16,19,0
5888.0,1450,220,16,19,3
5920.0,1470,220,16,19,5
5952.0,1485,224,16,19,8
6048.0,1525,228,16,16,1
6080.0,1540,228,16,16,1
6112.0,1550,228,16,16,8
6144.0,1570,232,16,16,8
6208.0,1590,236,16,19,8
6240.0,1600,236,16,19,6
6272.0,1625,236,16,19,6
6304.0,1580,215,16,19,5
6336.0,1595,215,16,19,3
6368.0,1610,215,16,19,7
6400.0,1625,219,16,19,8
6464.0,1655,219,16,19,7
6496.0,1665,223,16,19,3
6528.0,1680,223,16,19,7
6560.0,1685,227,16,19,8
6592.0,1710,227,16,16,4
6624.0,1725,227,16,16,2
6656.0,1730,231,16,16,2
6688.0,1755,231,16,16,7
6752.0,1775,235,16,16,1
6784.0,1780,235,16,16,8
6880.0,1825,239,16,16,8
6912.0,1845,243,16,16,5
7008.0,1880,247,16,16,7
7040.0,1895,247,16,16,5
7104.0,1775,251,16,16,5
7136.0,1790,251,16,16,3
7200.0,1890,255,16,16,0
7232.0,1910,255,16,16,5
7264.0,1845,259,16,16,6
7296.0,1855,259,16,16,0
7328.0,1865,259,16,16,7
7392.0,1900,263,16,16,4
7424.0,1905,263,16,16,1
7488.0,1940,267,16,16,3
7520.0,1955,267,16,16,0
7616.0,1995,275,16,16,1
7680.0,2020,275,16,16,2
7712.0,2035,279,16,16,8
7744.0,2045,279,16,16,3
7776.0,2070,279,16,16,6
7808.0,2085,283,16,16,7
7840.0,2090,283,16,16,0
7872.0,2095,283,16,16,4
7904.0,2120,287,16,16,0
7936.0,2140,287,16,16,6
7968.0,2140,291,16,16,5
8032.0,2015,291,16,16,3
8064.0,1960,295,16,16,6
8128.0,1980,295,16,16,7
8160.0,1990,299,16,16,2
8192.0,2005,299,16,16,4
8224.0,2020,299,16,16,0
8256.0,2025,303,16,16,2
8320.0,1960,307,16,16,4
8352.0,1970,307,16,16,5
8384.0,1975,307,16,16,6
8416.0,1985,311,16,16,8
8448.0,2005,311,16,16,8
8480.0,2020,311,16,19,6
8512.0,2025,315,16,19,8
8576.0,2050,315,16,19,4
8608.0,2065,319,16,19,3
8640.0,2075,319,16,19,6
8672.0,2085,323,16,19,4
8704.0,2100,323,16,19,1
8736.0,2110,323,16,19,3
8768.0,2130,327,16,19,1
8800.0,2130,327,16,19,6
8832.0,2150,327,16,19,1
8864.0,2120,331,16,19,1
8896.0,2075,331,16,19,2
8928.0,2080,331,16,19,7
8992.0,2115,335,16,16,2
9024.0,2025,339,16,16,5
9056.0,2030,339,16,16,5
9088.0,2050,339,16,16,1
9120.0,2060,343,17,16,8
9152.0,2065,343,17,16,0
9184.0,2075,343,17,16,2
9248.0,2110,347,17,19,7
9280.0,2110,347,17,19,3
9312.0,2135,351,17,19,5
9344.0,2140,351,17,19,3
9376.0,2155,355,18,19,2
9440.0,2080,355,18,19,7
9472.0,2090,359,18,19,4
9504.0,2110,359,18,19,7
9536.0,2115,359,18,19,4
9568.0,2135,363,18,19,7
9600.0,2150,363,18,19,7
9632.0,2165,363,18,19,6
9664.0,2120,342,18,19,5
9696.0,2135,342,18,19,3
9728.0,2155,346,18,19,5
9760.0,2165,346,18,19,6
9792.0,2175,346,18,19,6
9824.0,2185,354,18,19,3
9856.0,2210,354,18,19,4
9888.0,2215,354,18,19,5
9920.0,2225,362,18,19,4
9952.0,2250,362,18,19,7
9984.0,2260,362,18,19,1
10016.0,2270,366,18,19,2
10048.0,2280,370,18,19,2
10080.0,2300,374,18,19,3
10144.0,2325,378,18,19,5
10208.0,2355,382,18,19,5
10240.0,2365,382,18,19,8
10272.0,2380,390,18,19,5
10304.0,2390,390,18,19,4
10336.0,2410,390,18,19,3
10368.0,2420,398,18,19,6
10400.0,2435,398,18,19,8
10432.0,2445,402,18,19,2
10464.0,2460,402,18,19,7
10496.0,2475,406,18,19,4
10560.0,2505,410,18,19,5
10592.0,2515,414,18,19,2
10624.0,2535,418,18,19,1
10656.0,2535,418,18,19,1
10688.0,2505,422,18,19,5
10720.0,2525,426,18,19,4
10752.0,2535,426,18,19,7
10784.0,2540,430,18,19,0
10816.0,2560,434,18,19,2
10848.0,2575,434,18,19,1
10880.0,2585,438,18,19,4
10912.0,2595,442,18,19,2
10944.0,2615,442,19,19,8
10976.0,2620,446,19,16,2
11008.0,2635,446,19,16,0
11040.0,2650,450,19,16,5
11072.0,2665,454,19,16,0
11104.0,2680,454,19,16,8
11136.0,2695,462,19,16,9
11200.0,2315,462,19,19,2
11232.0,2335,466,19,19,3
11264.0,2350,466,19,19,0
11328.0,2375,470,19,19,2
11360.0,2390,470,19,19,3
11392.0,2400,470,19,19,8
11456.0,2430,474,19,19,7
11488.0,2445,478,19,19,0
11520.0,2450,478,19,19,5
11552.0,2460,478,19,19,4
11584.0,2480,482,19,19,6
11616.0,2500,482,19,19,0
11648.0,2505,482,19,19,0
11680.0,2515,486,19,19,4
11712.0,2535,486,19,19,8
11776.0,2560,490,19,19,4
11808.0,2570,490,19,19,5
11840.0,2585,494,19,19,0
11872.0,2605,494,19,19,0
11904.0,2610,494,19,19,6
11936.0,2630,498,19,19,5
11968.0,2645,498,19,19,0
