Episode,Total_Reward,Marauders,End_Loop,Reason
103,35.79,0,[13440],Timeout
104,35.79,0,[13440],Timeout
105,225.79,0,[13440],Timeout
106,-4.21,0,[13440],Timeout
107,635.79,4,[13440],Timeout
108,185.79,0,[13440],Timeout
109,485.79,3,[13440],Timeout
110,35.79,0,[13440],Timeout
111,-4.21,0,[13440],Timeout
112,35.79,0,[13440],Timeout
113,-4.21,0,[13440],Timeout
114,115.79,0,[13440],Timeout
115,335.79,1,[13440],Timeout
116,35.79,0,[13440],Timeout
117,335.79,2,[13440],Timeout
118,-4.21,0,[13440],Timeout
119,75.79,0,[13440],Timeout
120,35.79,0,[13440],Timeout
121,75.79,0,[13440],Timeout
122,35.79,0,[13440],Timeout
123,75.79,0,[13440],Timeout
124,35.79,0,[13440],Timeout
125,-4.21,0,[13440],Timeout
126,35.79,0,[13440],Timeout
127,-4.21,0,[13440],Timeout
128,35.79,0,[13440],Timeout
129,35.79,0,[13440],Timeout
130,35.79,0,[13440],Timeout
131,185.79,0,[13440],Timeout
132,-4.21,0,[13440],Timeout
133,635.79,4,[13440],Timeout
134,-4.21,0,[13440],Timeout
135,-4.21,0,[13440],Timeout
136,335.79,2,[13440],Timeout
137,75.79,0,[13440],Timeout
138,-4.21,0,[13440],Timeout
139,375.79,0,[13440],Timeout
140,35.79,0,[13440],Timeout
141,35.79,0,[13440],Timeout
142,35.79,0,[13440],Timeout
143,35.79,0,[13440],Timeout
144,35.79,0,[13440],Timeout
145,35.79,0,[13440],Timeout
146,185.79,1,[13440],Timeout
147,-4.21,0,[13440],Timeout
148,35.79,0,[13440],Timeout
149,185.79,1,[13440],Timeout
150,75.79,0,[13440],Timeout
151,35.79,0,[13440],Timeout
152,35.79,0,[13440],Timeout
153,185.79,0,[13440],Timeout
154,335.79,0,[13440],Timeout
155,-4.21,0,[13440],Timeout
156,-4.21,0,[13440],Timeout
157,35.79,0,[13440],Timeout
158,35.79,0,[13440],Timeout
159,155.79,0,[13440],Timeout
160,75.79,0,[13440],Timeout
161,115.79,0,[13440],Timeout
162,185.79,0,[13440],Timeout
163,-4.21,0,[13440],Timeout
164,-4.21,0,[13440],Timeout
165,35.79,0,[13440],Timeout
166,35.79,0,[13440],Timeout
167,185.79,1,[13440],Timeout
168,-4.21,0,[13440],Timeout
169,-4.21,0,[13440],Timeout
170,35.79,0,[13440],Timeout
171,35.79,0,[13440],Timeout
172,335.79,2,[13440],Timeout
173,35.79,0,[13440],Timeout
174,-4.21,0,[13440],Timeout
175,35.79,0,[13440],Timeout
176,-4.21,0,[13440],Timeout
177,35.79,0,[13440],Timeout
178,485.79,0,[13440],Timeout
179,-4.21,0,[13440],Timeout
180,335.79,0,[13440],Timeout
181,335.79,2,[13440],Timeout
182,635.79,4,[13440],Timeout
183,-4.21,0,[13440],Timeout
184,75.79,0,[13440],Timeout
185,-4.21,0,[13440],Timeout
186,75.79,0,[13440],Timeout
187,225.79,0,[13440],Timeout
188,-4.21,0,[13440],Timeout
189,485.79,0,[13440],Timeout
190,-4.21,0,[13440],Timeout
191,35.79,0,[13440],Timeout
192,35.79,0,[13440],Timeout
193,-4.21,0,[13440],Timeout
194,35.79,0,[13440],Timeout
195,-4.21,0,[13440],Timeout
196,-4.21,0,[13440],Timeout
197,-4.21,0,[13440],Timeout
198,35.79,0,[13440],Timeout
199,35.79,0,[13440],Timeout
200,35.79,0,[13440],Timeout
