Episode,Epsilon,Total_Reward,Marauders,End_Loop,Reason,Is_Bottom_Right
436,0.647,181,1,13440,Timeout,False
437,0.646,1282,5,12688,Target_Reached,True
438,0.646,1281,5,13168,Target_Reached,False
439,0.645,221,0,13440,Timeout,False
440,0.645,31,0,13440,Timeout,True
441,0.644,331,2,13440,Timeout,True
442,0.643,521,1,13440,Timeout,False
443,0.643,181,0,13440,Timeout,False
444,0.642,631,0,13440,Timeout,True
445,0.641,331,2,13440,Timeout,False
446,0.641,71,0,13440,Timeout,False
447,0.640,1322,5,11472,Target_Reached,True
448,0.639,71,0,13440,Timeout,False
449,0.639,1281,5,12928,Target_Reached,True
450,0.638,221,0,13440,Timeout,False
451,0.637,221,1,13440,Timeout,True
452,0.637,181,1,13440,Timeout,True
453,0.636,481,0,13440,Timeout,False
454,0.636,631,4,13440,Timeout,True
455,0.635,411,0,13440,Timeout,False
456,0.634,111,0,13440,Timeout,False
457,0.634,31,0,13440,Timeout,False
458,0.633,631,4,13440,Timeout,True
459,0.632,221,1,13440,Timeout,True
460,0.632,481,2,13440,Timeout,False
461,0.631,1281,5,12864,Target_Reached,False
462,0.631,151,0,13440,Timeout,False
463,0.630,221,0,13440,Timeout,False
464,0.629,-8,0,13440,Timeout,False
465,0.629,1281,5,13104,Target_Reached,True
466,0.628,331,0,13440,Timeout,False
467,0.627,1362,5,11232,Target_Reached,True
468,0.627,31,0,13440,Timeout,False
469,0.626,1322,5,12000,Target_Reached,True
470,0.625,71,0,13440,Timeout,False
471,0.625,711,4,13440,Timeout,True
472,0.624,111,0,13440,Timeout,True
473,0.624,301,1,13440,Timeout,False
474,0.623,1321,5,13088,Target_Reached,True
475,0.622,331,2,13440,Timeout,True
476,0.622,1281,5,12896,Target_Reached,False
477,0.621,371,0,13440,Timeout,False
478,0.620,31,0,13440,Timeout,False
479,0.620,1282,5,12320,Target_Reached,False
480,0.619,181,1,13440,Timeout,False
481,0.619,331,2,13440,Timeout,True
482,0.618,481,0,13440,Timeout,True
483,0.617,561,3,13440,Timeout,False
484,0.617,331,2,13440,Timeout,False
485,0.616,181,1,13440,Timeout,False
486,0.616,331,0,13440,Timeout,False
487,0.615,631,4,13440,Timeout,False
488,0.614,451,2,13440,Timeout,True
489,0.614,371,0,13440,Timeout,True
490,0.613,221,0,13440,Timeout,True
491,0.612,221,1,13440,Timeout,False
492,0.612,331,0,13440,Timeout,False
493,0.611,181,0,13440,Timeout,False
494,0.611,1281,5,13440,Target_Reached,False
495,0.610,671,4,13440,Timeout,True
496,0.609,561,3,13440,Timeout,True
497,0.609,1281,5,12896,Target_Reached,False
498,0.608,1322,5,12160,Target_Reached,True
499,0.608,1323,5,10512,Target_Reached,True
500,0.607,31,0,13440,Timeout,False
501,0.606,671,4,13440,Timeout,True
502,0.606,1322,5,12496,Target_Reached,False
503,0.605,481,3,13440,Timeout,True
504,0.605,181,1,13440,Timeout,False
505,0.604,411,2,13440,Timeout,False
506,0.603,331,2,13440,Timeout,True
507,0.603,371,1,13440,Timeout,True
508,0.602,521,0,13440,Timeout,False
509,0.602,31,0,13440,Timeout,True
510,0.601,1283,5,11168,Target_Reached,True
511,0.600,31,0,13440,Timeout,False
512,0.600,31,0,13440,Timeout,False
513,0.599,71,0,13440,Timeout,True
514,0.599,481,2,13440,Timeout,False
515,0.598,111,0,13440,Timeout,True
516,0.597,71,0,13440,Timeout,True
517,0.597,671,4,13440,Timeout,False
518,0.596,481,0,13440,Timeout,False
519,0.596,561,1,13440,Timeout,False
520,0.595,481,0,13440,Timeout,False
521,0.594,631,4,13440,Timeout,False
522,0.594,481,3,13440,Timeout,True
523,0.593,221,0,13440,Timeout,False
524,0.593,521,3,13440,Timeout,False
525,0.592,181,1,13440,Timeout,False
526,0.591,181,1,13440,Timeout,False
527,0.591,481,0,13440,Timeout,True
528,0.590,481,0,13440,Timeout,False
529,0.590,631,0,13440,Timeout,False
530,0.589,261,1,13440,Timeout,False
531,0.588,631,4,13440,Timeout,True
532,0.588,181,0,13440,Timeout,False
533,0.587,671,0,13440,Timeout,True
534,0.587,1283,5,10592,Target_Reached,True
535,0.586,481,2,13440,Timeout,False
536,0.586,181,1,13440,Timeout,False
537,0.585,1322,5,12288,Target_Reached,True
538,0.584,481,3,13440,Timeout,False
539,0.584,521,0,13440,Timeout,False
540,0.583,31,0,13440,Timeout,True
541,0.583,181,1,13440,Timeout,False
