Episode,Timestamp,Reward,PolicyLoss,ValueLoss,Loss,Entropy,LR
434,14:48:35,93.93,0.000000,23.242956,23.192661,1.0059,9.87e-05
435,14:48:40,94.46,0.000000,13.548320,13.499379,0.9788,9.87e-05
436,14:48:45,105.0,-0.000000,17.555017,17.504978,1.0008,9.87e-05
437,14:48:51,80.98,-0.000000,15.268324,15.218711,0.9923,9.87e-05
438,14:48:56,80.92,0.000000,13.712662,13.663129,0.9907,9.87e-05
439,14:49:02,113.52,0.000000,19.148232,19.098616,0.9923,9.87e-05
440,14:49:08,114.6,0.000000,19.873055,19.823776,0.9856,9.87e-05
441,14:49:17,97.12,0.000000,20.229843,20.179976,0.9973,9.87e-05
442,14:49:22,106.06,0.000000,23.770571,23.721287,0.9857,9.87e-05
443,14:49:27,106.95,-0.000000,19.988125,19.938595,0.9906,9.87e-05
444,14:49:33,95.36,-0.000000,19.562784,19.513586,0.9840,9.87e-05
445,14:49:39,102.55,0.000000,22.258989,22.209288,0.9940,9.87e-05
446,14:49:44,117.07,0.000000,23.707975,23.658018,0.9991,9.87e-05
447,14:49:50,95.07,0.000000,16.385628,16.336012,0.9923,9.87e-05
448,14:49:56,123.02,-0.000000,24.331995,24.282888,0.9821,9.87e-05
449,14:50:01,107.08,0.000000,19.342354,19.292820,0.9907,9.87e-05
450,14:50:07,103.94,0.000000,18.761663,18.711712,0.9990,9.86e-05
451,14:50:25,105.06,0.000000,16.294920,16.245394,0.9905,9.86e-05
452,14:50:30,114.69,-0.000000,26.158726,26.109787,0.9788,9.86e-05
453,14:50:36,60.86,-0.000000,13.670047,13.620092,0.9991,9.86e-05
454,14:50:41,106.55,-0.000000,17.965996,17.916800,0.9839,9.86e-05
455,14:50:47,83.9,0.000000,17.434559,17.385450,0.9822,9.86e-05
456,14:50:53,104.47,0.000000,19.285946,19.236242,0.9941,9.86e-05
457,14:50:58,97.62,-0.000000,15.807990,15.758207,0.9957,9.86e-05
458,14:51:04,93.99,0.000000,15.525608,15.476331,0.9855,9.86e-05
459,14:51:09,84.98,-0.000000,16.332495,16.282373,1.0024,9.86e-05
460,14:51:15,94.13,0.000000,15.203979,15.154111,0.9974,9.86e-05
461,14:51:24,115.53,0.000000,28.511269,28.461571,0.9940,9.86e-05
462,14:51:31,129.61,0.000000,25.358013,25.307974,1.0008,9.86e-05
463,14:51:37,86.49,-0.000000,21.049734,21.000288,0.9889,9.86e-05
464,14:51:43,105.33,-0.000000,17.503630,17.454350,0.9856,9.86e-05
465,14:51:49,107.0,0.000000,17.410051,17.360178,0.9975,9.86e-05
466,14:51:55,127.61,0.000000,23.526754,23.476295,1.0092,9.86e-05
467,14:52:01,105.59,0.000000,21.186323,21.135948,1.0075,9.86e-05
468,14:52:07,118.03,-0.000000,25.355625,25.305756,0.9974,9.86e-05
469,14:52:13,95.06,0.000000,14.026963,13.978104,0.9772,9.86e-05
470,14:52:18,96.01,-0.000000,18.618658,18.569380,0.9856,9.86e-05
471,14:52:27,79.31,0.000000,13.065319,13.015787,0.9906,9.86e-05
472,14:52:32,118.49,0.000000,23.526249,23.476719,0.9906,9.86e-05
473,14:52:38,92.52,0.000000,12.445830,12.395538,1.0058,9.86e-05
474,14:52:44,124.47,0.000000,25.154741,25.105631,0.9822,9.86e-05
475,14:52:49,109.63,0.000000,24.334471,24.285358,0.9822,9.86e-05
476,14:52:55,116.53,0.000000,22.607952,22.558167,0.9957,9.86e-05
477,14:53:01,107.46,0.000000,14.198581,14.149217,0.9873,9.86e-05
478,14:53:06,101.02,0.000000,15.132268,15.083412,0.9771,9.86e-05
479,14:53:11,59.84,-0.000000,8.551126,8.501512,0.9923,9.86e-05
480,14:53:17,115.03,-0.000000,18.923031,18.873495,0.9907,9.86e-05
481,14:53:42,80.89,0.000000,15.175534,15.126338,0.9839,9.86e-05
482,14:53:47,84.45,0.000000,14.292710,14.243346,0.9873,9.86e-05
483,14:53:53,71.77,0.000000,10.361814,10.312620,0.9839,9.86e-05
484,14:53:58,103.05,0.000000,19.660076,19.611219,0.9771,9.85e-05
485,14:54:04,73.95,0.000000,13.920429,13.870815,0.9923,9.85e-05
486,14:54:09,84.02,0.000000,10.121179,10.071229,0.9990,9.85e-05
487,14:54:14,83.88,0.000000,11.667092,11.617893,0.9840,9.85e-05
488,14:54:20,103.94,-0.000000,19.525131,19.475512,0.9924,9.85e-05
489,14:54:25,116.07,0.000000,24.698133,24.648941,0.9839,9.85e-05
490,14:54:30,118.6,-0.000000,23.467533,23.418085,0.9890,9.85e-05
491,14:54:39,107.53,0.000000,21.253603,21.203648,0.9991,9.85e-05
492,14:54:44,50.31,-0.000000,11.104068,11.054873,0.9839,9.85e-05
493,14:54:49,115.08,-0.000000,23.841339,23.791979,0.9872,9.85e-05
