Episode,Timestamp,Reward,PolicyLoss,ValueLoss,Loss,Entropy
1886,2026-03-29 09:30:27,44.92,1.8278758773249137e-07,11.687660217285156,5.793649196624756,10.036218643188477
1887,2026-03-29 09:30:34,50.04,3.973643103449831e-08,7.693297386169434,3.7962663173675537,10.076456069946289
1888,2026-03-29 09:30:41,54.83,-0.0,8.424558639526367,4.162476062774658,9.960626602172852
1889,2026-03-29 09:30:49,50.45,-0.0,8.424567222595215,4.162634372711182,9.929865837097168
1890,2026-03-29 09:30:56,57.13,-7.947286206899662e-08,7.939350128173828,3.919435977935791,10.047831535339355
1891,2026-03-29 09:31:08,51.49,-6.357829107628277e-08,8.08387565612793,3.9915449619293213,10.078563690185547
1892,2026-03-29 09:31:15,58.71,-6.357829107628277e-08,8.675713539123535,4.288196086883545,9.932170867919922
1893,2026-03-29 09:31:23,53.32,1.4305115314527939e-07,8.446867942810059,4.173415184020996,10.003730773925781
1894,2026-03-29 09:31:31,54.12,-1.2715658215256553e-07,7.5739264488220215,3.7362608909606934,10.140408515930176
1895,2026-03-29 09:31:38,59.54,-9.536744016713783e-08,9.373165130615234,4.636989593505859,9.918566703796387
1896,2026-03-29 09:31:45,51.75,-1.4305115314527939e-07,10.017866134643555,4.959604740142822,9.865656852722168
1897,2026-03-29 09:31:53,64.01,7.947286206899662e-08,8.942241668701172,4.4224982261657715,9.724519729614258
1898,2026-03-29 09:32:00,52.22,-6.357829107628277e-08,9.485103607177734,4.693146705627441,9.881054878234863
1899,2026-03-29 09:32:07,64.45,1.5894572769070692e-08,11.99927806854248,5.950472354888916,9.833369255065918
1900,2026-03-29 09:32:16,57.04,-3.3378603347955504e-07,10.916424751281738,5.408240795135498,9.994257926940918
1901,2026-03-29 09:32:28,59.77,-1.2715658215256553e-07,10.260344505310059,5.080595016479492,9.915448188781738
1902,2026-03-29 09:32:37,57.19,-4.7683720083568915e-08,9.581930160522461,4.741540431976318,9.884955406188965
1903,2026-03-29 09:32:45,60.58,-1.4305115314527939e-07,12.2029447555542,6.052581787109375,9.778118133544922
1904,2026-03-29 09:32:54,58.15,1.5894572413799324e-07,10.9395112991333,5.420608043670654,9.829540252685547
1905,2026-03-29 09:33:01,65.92,-6.357829107628277e-08,11.243703842163086,5.572885036468506,9.793370246887207
1906,2026-03-29 09:33:08,54.08,1.2715658215256553e-07,16.247766494750977,8.075278282165527,9.720996856689453
1907,2026-03-29 09:33:17,65.07,-1.1126201115985168e-07,12.502700805664062,6.202610015869141,9.748065948486328
1908,2026-03-29 09:33:25,62.92,-7.947286206899662e-08,12.604219436645508,6.25327730178833,9.766472816467285
1909,2026-03-29 09:33:32,63.31,-7.947286206899662e-08,11.159647941589355,5.5308661460876465,9.791606903076172
1910,2026-03-29 09:33:39,69.47,6.35782896551973e-07,12.711853981018066,6.30710506439209,9.76447868347168
1911,2026-03-29 09:33:50,57.61,-1.5894572769070692e-08,13.645959854125977,6.773891925811768,9.817581176757812
1912,2026-03-29 09:33:57,64.63,3.1789145538141383e-08,12.286555290222168,6.094512939453125,9.752960205078125
1913,2026-03-29 09:34:05,67.73,-6.357829107628277e-08,13.86292839050293,6.88292932510376,9.706991195678711
1914,2026-03-29 09:34:13,65.5,-9.536744016713783e-08,13.752641677856445,6.827620506286621,9.740070343017578
1915,2026-03-29 09:34:20,69.34,1.748402951307071e-07,14.719352722167969,7.311119556427002,9.711334228515625
1916,2026-03-29 09:34:27,61.93,-9.536744016713783e-08,12.951675415039062,6.427088737487793,9.749826431274414
1917,2026-03-29 09:34:34,66.04,4.7683720083568915e-08,15.047192573547363,7.474999904632568,9.719310760498047
1918,2026-03-29 09:34:41,63.93,3.178914482759865e-07,13.46015453338623,6.681613922119141,9.692804336547852
1919,2026-03-29 09:34:50,64.37,6.357829107628277e-08,14.031020164489746,6.9668965339660645,9.72275161743164
1920,2026-03-29 09:34:58,62.35,-1.5894572413799324e-07,14.013906478881836,6.958193302154541,9.752029418945312
1921,2026-03-29 09:35:10,62.33,3.178914482759865e-07,13.81295108795166,6.857623100280762,9.77060604095459
1922,2026-03-29 09:35:17,65.47,2.384185791015625e-07,13.44240665435791,6.672158241271973,9.809103965759277
1923,2026-03-29 09:35:24,68.36,-3.1789145538141383e-08,13.948505401611328,6.925407409667969,9.769089698791504
1924,2026-03-29 09:35:32,64.08,-4.7683720083568915e-08,13.320046424865723,6.610868453979492,9.830960273742676
1925,2026-03-29 09:35:39,66.46,1.5894572769070692e-08,12.325616836547852,6.1135711669921875,9.847480773925781
1926,2026-03-29 09:35:46,72.77,3.1789145538141383e-08,13.045842170715332,6.473743438720703,9.835500717163086
1927,2026-03-29 09:35:53,65.86,7.947286206899662e-08,13.196884155273438,6.549005508422852,9.887272834777832
1928,2026-03-29 09:36:00,68.31,-1.5894572413799324e-07,13.169607162475586,6.53525447845459,9.909815788269043
1929,2026-03-29 09:36:08,67.46,-6.357829107628277e-08,13.095732688903809,6.498355865478516,9.902118682861328
1930,2026-03-29 09:36:16,68.49,-4.7683720083568915e-08,13.481769561767578,6.691375732421875,9.90185260772705
1931,2026-03-29 09:36:28,67.96,1.5894572769070692e-08,12.943979263305664,6.422420978546143,9.913718223571777
1932,2026-03-29 09:36:35,74.17,-3.1789145538141383e-08,14.708487510681152,7.304590225219727,9.930753707885742
1933,2026-03-29 09:36:42,68.97,7.947286206899662e-08,14.420186996459961,7.160373210906982,9.944011688232422
1934,2026-03-29 09:36:49,71.22,-9.536744016713783e-08,15.019452095031738,7.460387706756592,9.867711067199707
1935,2026-03-29 09:36:57,68.97,-6.357829107628277e-08,14.068611145019531,6.9852190017700195,9.817358016967773
1936,2026-03-29 09:37:05,69.81,2.5431316430513107e-07,14.689444541931152,7.296078681945801,9.728793144226074
1937,2026-03-29 09:37:12,67.23,2.2252402231970336e-07,15.820589065551758,7.8618574142456055,9.68739128112793
1938,2026-03-29 09:37:21,68.64,-9.536744016713783e-08,15.083478927612305,7.493462562561035,9.65536880493164
1939,2026-03-29 09:37:28,66.61,-4.7683720083568915e-08,15.729076385498047,7.816375255584717,9.63260269165039
1940,2026-03-29 09:37:36,65.19,-1.2715658215256553e-07,14.875384330749512,7.38951301574707,9.635858535766602
1941,2026-03-29 09:37:47,67.29,-9.536744016713783e-08,16.55182647705078,8.228057861328125,9.571039199829102
1942,2026-03-29 09:37:53,58.03,-7.947286206899662e-08,16.17902183532715,8.041285514831543,9.645153999328613
1943,2026-03-29 09:38:01,70.51,1.5894572769070692e-08,15.690134048461914,7.797502040863037,9.512958526611328
1944,2026-03-29 09:38:08,65.7,-3.1789145538141383e-08,13.976161003112793,6.9401116371154785,9.593785285949707
1945,2026-03-29 09:38:15,64.48,-2.384185791015625e-07,12.93007755279541,6.41723108291626,9.561471939086914
1946,2026-03-29 09:38:23,61.31,-0.0,14.071423530578613,6.987846851348877,9.573002815246582
1947,2026-03-29 09:38:32,66.7,6.357829107628277e-08,12.077796936035156,5.991447448730469,9.49020004272461
1948,2026-03-29 09:38:39,69.45,-7.947286206899662e-08,12.820298194885254,6.362479209899902,9.53396987915039
1949,2026-03-29 09:38:46,55.62,1.748402951307071e-07,13.043970108032227,6.474130630493164,9.5708646774292
1950,2026-03-29 09:38:55,58.32,4.7683720083568915e-08,11.718358039855957,5.811180114746094,9.59977912902832
1951,2026-03-29 09:39:06,54.39,-1.4305115314527939e-07,11.962474822998047,5.932952404022217,9.65704345703125
1952,2026-03-29 09:39:13,61.84,1.1126201115985168e-07,12.839775085449219,6.371848106384277,9.607870101928711
1953,2026-03-29 09:39:20,64.01,-7.947286206899662e-08,12.187554359436035,6.045394420623779,9.676532745361328
1954,2026-03-29 09:39:27,71.51,-1.2715658215256553e-07,11.659465789794922,5.782109260559082,9.524706840515137
1955,2026-03-29 09:39:34,63.69,3.1789145538141383e-08,11.070576667785645,5.487283706665039,9.600908279418945
1956,2026-03-29 09:39:43,63.21,-1.2715658215256553e-07,11.545523643493652,5.72489070892334,9.574244499206543
1957,2026-03-29 09:39:51,66.23,2.7020774950869964e-07,10.61195182800293,5.258116245269775,9.572059631347656
1958,2026-03-29 09:39:58,65.04,-9.536744016713783e-08,11.751312255859375,5.827904224395752,9.550408363342285
1959,2026-03-29 09:40:11,60.03,-4.76837158203125e-07,11.544740676879883,5.724278450012207,9.61828327178955
1960,2026-03-29 09:40:17,66.52,-1.5894572769070692e-08,12.62720012664795,6.265720367431641,9.57597541809082
1961,2026-03-29 09:40:28,65.52,3.6557517546498275e-07,11.217484474182129,5.561171054840088,9.51432991027832
1962,2026-03-29 09:40:36,64.32,3.1789145538141383e-08,15.12058162689209,7.512579441070557,9.54227352142334
1963,2026-03-29 09:40:45,65.11,4.7683720083568915e-08,14.341790199279785,7.123178482055664,9.543331146240234
1964,2026-03-29 09:40:52,60.17,-7.947286206899662e-08,12.917961120605469,6.411225318908691,9.551080703735352
1965,2026-03-29 09:40:59,66.71,-1.5894572413799324e-07,13.075409889221191,6.489808082580566,9.579352378845215
1966,2026-03-29 09:41:06,64.06,3.1789145538141383e-08,12.747260093688965,6.325779438018799,9.570115089416504
1967,2026-03-29 09:41:13,69.73,-1.5894572769070692e-08,13.82048511505127,6.862585544586182,9.531356811523438
1968,2026-03-29 09:41:20,63.98,-5.404154990173993e-07,12.780213356018066,6.342138290405273,9.593571662902832
1969,2026-03-29 09:41:28,62.99,1.5894572769070692e-08,14.240890502929688,7.072283744812012,9.632326126098633
1970,2026-03-29 09:41:35,61.2,1.5894572769070692e-08,12.465276718139648,6.1845622062683105,9.615185737609863
1971,2026-03-29 09:41:45,63.82,-4.7683720083568915e-08,13.404973983764648,6.654244899749756,9.648408889770508
1972,2026-03-29 09:41:53,64.35,-1.5894572413799324e-07,12.190812110900879,6.047144889831543,9.652214050292969
1973,2026-03-29 09:42:00,70.1,1.5894572769070692e-08,14.789725303649902,7.34666109085083,9.640270233154297
1974,2026-03-29 09:42:07,64.61,2.2252402231970336e-07,11.70386028289795,5.8037028312683105,9.645441055297852
