Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
290,掠奪者任務,0.235,-2550,13440,0,10
291,掠奪者任務,0.234,-2430,13440,0,14
292,掠奪者任務,0.233,-2490,13440,0,11
293,掠奪者任務,0.231,-2640,13440,0,7
294,掠奪者任務,0.230,-2640,13440,0,7
295,掠奪者任務,0.229,-2400,13440,0,15
296,掠奪者任務,0.228,-2430,13440,0,14
297,掠奪者任務,0.227,-2520,13440,0,11
298,掠奪者任務,0.226,-2670,13440,0,6
299,掠奪者任務,0.225,6380,6288,5,1
300,掠奪者任務,0.223,-2730,13440,0,4
301,掠奪者任務,0.222,-2550,13440,0,10
302,掠奪者任務,0.221,-3000,13440,0,0
303,掠奪者任務,0.220,-2460,13440,0,13
304,掠奪者任務,0.219,-2520,13440,0,11
305,掠奪者任務,0.218,-2640,13440,0,7
306,掠奪者任務,0.217,-2700,13440,0,5
307,掠奪者任務,0.216,-1530,13440,2,4
308,掠奪者任務,0.215,-2520,13440,0,10
309,掠奪者任務,0.214,-2670,13440,0,6
310,掠奪者任務,0.212,-2760,13440,0,3
311,掠奪者任務,0.211,-2670,13440,0,6
312,掠奪者任務,0.210,-2610,13440,0,8
313,掠奪者任務,0.209,-2550,13440,0,10
314,掠奪者任務,0.208,-2430,13440,0,14
315,掠奪者任務,0.207,-2670,13440,0,5
316,掠奪者任務,0.206,-2610,13440,0,8
317,掠奪者任務,0.205,-1970,13440,1,6
318,掠奪者任務,0.204,-2670,13440,0,6
319,掠奪者任務,0.203,-2670,13440,0,6
320,掠奪者任務,0.202,-2610,13440,0,8
321,掠奪者任務,0.201,-2730,13440,0,4
322,掠奪者任務,0.200,-2580,13440,0,9
323,掠奪者任務,0.199,-2670,13440,0,6
324,掠奪者任務,0.198,-2670,13440,0,6
325,掠奪者任務,0.197,-2520,13440,0,10
326,掠奪者任務,0.196,-2550,13440,0,10
327,掠奪者任務,0.195,-2670,13440,0,6
328,掠奪者任務,0.194,-2730,13440,0,4
329,掠奪者任務,0.193,-2670,13440,0,6
330,掠奪者任務,0.192,-2490,13440,0,12
331,掠奪者任務,0.191,-2640,13440,0,7
332,掠奪者任務,0.190,-2730,13440,0,4
333,掠奪者任務,0.189,-2550,13440,0,10
334,掠奪者任務,0.188,-2550,13440,0,10
335,掠奪者任務,0.187,-2580,13440,0,9
336,掠奪者任務,0.187,-2500,13440,0,5
337,掠奪者任務,0.186,-2580,13440,0,9
338,掠奪者任務,0.185,-2410,13440,0,8
339,掠奪者任務,0.184,-2760,13440,0,3
340,掠奪者任務,0.183,-2550,13440,0,10
341,掠奪者任務,0.182,-2610,13440,0,8
342,掠奪者任務,0.181,-1910,13440,1,8
343,掠奪者任務,0.180,-2700,13440,0,5
344,掠奪者任務,0.179,-2610,13440,0,3
345,掠奪者任務,0.178,-2610,13440,0,8
346,掠奪者任務,0.177,-2700,13440,0,5
347,掠奪者任務,0.177,-2730,13440,0,4
348,掠奪者任務,0.176,-2670,13440,0,6
349,掠奪者任務,0.175,-2640,13440,0,7
350,掠奪者任務,0.174,-2700,13440,0,5
351,掠奪者任務,0.173,-2610,13440,0,8
352,掠奪者任務,0.172,-2700,13440,0,5
353,掠奪者任務,0.171,-2670,13440,0,6
354,掠奪者任務,0.170,-2580,13440,0,9
355,掠奪者任務,0.170,-2730,13440,0,4
356,掠奪者任務,0.169,-2850,13440,0,0
357,掠奪者任務,0.168,-2730,13440,0,4
358,掠奪者任務,0.167,-2610,13440,0,8
359,掠奪者任務,0.166,-2700,13440,0,5
360,掠奪者任務,0.165,-2670,13440,0,6
361,掠奪者任務,0.165,-2700,13440,0,5
362,掠奪者任務,0.164,-2790,13440,0,2
363,掠奪者任務,0.163,-2700,13440,0,5
364,掠奪者任務,0.162,-2580,13440,0,9
365,掠奪者任務,0.161,-2730,13440,0,4
366,掠奪者任務,0.160,-2640,13440,0,7
367,掠奪者任務,0.160,-2760,13440,0,3
368,掠奪者任務,0.159,-2700,13440,0,5
369,掠奪者任務,0.158,-2820,13440,0,1
370,掠奪者任務,0.157,-2730,13440,0,4
371,掠奪者任務,0.157,-2640,13440,0,7
372,掠奪者任務,0.156,-2640,13440,0,6
373,掠奪者任務,0.155,-2760,13440,0,3
374,掠奪者任務,0.154,-2790,13440,0,2
375,掠奪者任務,0.153,-2790,13440,0,2
376,掠奪者任務,0.153,-2640,13440,0,7
377,掠奪者任務,0.152,-2700,13440,0,4
378,掠奪者任務,0.151,-2610,13440,0,8
379,掠奪者任務,0.150,-2760,13440,0,3
380,掠奪者任務,0.150,-2730,13440,0,4
381,掠奪者任務,0.149,-2670,13440,0,6
382,掠奪者任務,0.148,-2640,13440,0,7
383,掠奪者任務,0.147,-2760,13440,0,3
384,掠奪者任務,0.147,-2790,13440,0,2
385,掠奪者任務,0.146,-2820,13440,0,0
386,掠奪者任務,0.145,-2700,13440,0,4
387,掠奪者任務,0.144,-2820,13440,0,1
388,掠奪者任務,0.144,-2790,13440,0,2
389,掠奪者任務,0.143,-2550,13440,0,10
390,掠奪者任務,0.142,-1880,13440,1,9
391,掠奪者任務,0.142,-2730,13440,0,4
392,掠奪者任務,0.141,-2610,13440,0,8
393,掠奪者任務,0.140,-2670,13440,0,6
394,掠奪者任務,0.139,-2730,13440,0,4
395,掠奪者任務,0.139,-2670,13440,0,6
396,掠奪者任務,0.138,-2700,13440,0,5
397,掠奪者任務,0.137,-2700,13440,0,5
398,掠奪者任務,0.137,-2640,13440,0,7
399,掠奪者任務,0.136,-2730,13440,0,4
400,掠奪者任務,0.135,-2730,13440,0,4
401,掠奪者任務,0.135,-2760,13440,0,3
402,掠奪者任務,0.134,-2550,13440,0,10
403,掠奪者任務,0.133,-2670,13440,0,6
404,掠奪者任務,0.133,-2670,13440,0,6
405,掠奪者任務,0.132,-2760,13440,0,3
406,掠奪者任務,0.131,-2670,13440,0,5
407,掠奪者任務,0.131,-2610,13440,0,8
408,掠奪者任務,0.130,-2610,13440,0,8
