Episode,Reward,Loss,Entropy,LR
291,7.3,0.2353,8.3176,0.0003
292,14.61,0.1619,8.3176,0.0003
293,17.1,0.6534,8.3176,0.0003
294,18.54,1.067,8.3176,0.0003
295,28.14,0.2067,8.3176,0.0003
296,9.63,0.1594,8.3176,0.0003
297,27.37,0.4524,8.3176,0.0003
298,19.27,0.3478,8.3176,0.0003
299,27.43,0.1821,8.3176,0.0003
300,20.64,1.1347,8.3176,0.0003
301,25.28,0.6318,8.3176,0.0003
302,4.05,-0.2649,8.3176,0.0003
303,13.8,-0.0395,8.3176,0.0003
304,16.09,-0.3072,8.3175,0.0003
305,6.8,-0.3313,8.3175,0.0003
306,9.05,0.0071,8.3176,0.0003
307,15.72,2.1282,8.3176,0.0003
308,22.2,0.0508,8.3176,0.0003
309,18.68,-0.0888,8.3176,0.0003
310,12.83,0.0492,8.3176,0.0003
311,18.9,0.4389,8.3176,0.0003
312,13.24,0.4234,8.3176,0.0003
313,14.01,0.4207,8.3175,0.0003
314,16.61,0.4328,8.3175,0.0003
315,11.54,-0.2316,8.3175,0.0003
316,26.41,0.1316,8.3176,0.0003
317,7.85,0.0077,8.3175,0.0003
318,13.94,0.5011,8.3175,0.0003
319,8.72,-0.2737,8.3175,0.0003
320,12.67,0.5002,8.3176,0.0003
321,9.96,-0.3324,8.3176,0.0003
322,35.7,0.1729,8.3176,0.0003
323,25.1,0.438,8.3176,0.0003
324,26.74,2.7355,8.3175,0.0003
325,15.82,-0.0466,8.3176,0.0003
326,10.65,-0.5232,8.3176,0.0003
327,7.07,-0.4212,8.3176,0.0003
328,37.08,0.1954,8.3176,0.0003
329,24.41,0.1256,8.3176,0.0003
330,14.61,-0.0684,8.3176,0.0003
331,20.24,0.1978,8.3176,0.0003
332,12.33,-0.1487,8.3176,0.0003
333,14.75,0.178,8.3176,0.0003
334,15.8,-0.0192,8.3176,0.0003
335,19.76,-0.117,8.3176,0.0003
336,14.29,0.0755,8.3175,0.0003
337,14.42,-0.0477,8.3175,0.0003
338,7.1,0.0473,8.3175,0.0003
339,15.72,0.1282,8.3175,0.0003
340,12.34,0.2929,8.3175,0.0003
341,13.5,-0.4641,8.3175,0.0003
342,5.59,-0.0474,8.3176,0.0003
343,23.87,0.297,8.3175,0.0003
344,20.44,0.3113,8.3175,0.0003
345,29.22,0.3857,8.3173,0.0003
346,4.24,1.0518,8.3174,0.0003
347,20.13,0.1248,8.3174,0.0003
348,13.1,-0.2199,8.3174,0.0003
349,18.71,0.1146,8.3174,0.0003
350,12.53,0.1237,8.3174,0.0003
351,21.99,-0.0792,8.3174,0.0003
352,29.91,0.0861,8.3175,0.0003
353,29.39,1.0521,8.3174,0.0003
354,11.56,0.6672,8.3174,0.0003
