Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
336,掠奪者任務,0.187,4410,8192,5,2
337,掠奪者任務,0.186,-1140,13440,3,7
338,掠奪者任務,0.185,-2860,13440,0,1
339,掠奪者任務,0.184,-1690,13440,4,1
340,掠奪者任務,0.183,-2890,13440,0,2
341,掠奪者任務,0.182,-3260,13440,1,3
342,掠奪者任務,0.181,3970,13360,5,4
343,掠奪者任務,0.180,3800,9824,5,5
344,掠奪者任務,0.179,4170,9264,5,4
345,掠奪者任務,0.178,-2360,13440,2,3
346,掠奪者任務,0.177,-1000,13440,4,4
347,掠奪者任務,0.177,-1860,13440,2,3
348,掠奪者任務,0.176,-3060,13440,1,3
349,掠奪者任務,0.175,-3950,13440,0,0
350,掠奪者任務,0.174,-1090,13440,4,2
351,掠奪者任務,0.173,-1960,13440,2,3
352,掠奪者任務,0.172,4210,7536,5,2
353,掠奪者任務,0.171,-2730,13440,3,4
354,掠奪者任務,0.170,4440,11696,6,3
355,掠奪者任務,0.170,-6120,13440,0,0
356,掠奪者任務,0.169,-1120,13440,2,0
357,掠奪者任務,0.168,4240,10256,5,1
358,掠奪者任務,0.167,-3130,13440,0,4
359,掠奪者任務,0.166,-2850,13440,0,0
360,掠奪者任務,0.165,-3170,13440,1,5
361,掠奪者任務,0.165,3970,10240,5,3
362,掠奪者任務,0.164,-2690,13440,0,1
363,掠奪者任務,0.163,-3030,13440,0,2
364,掠奪者任務,0.162,4470,11408,5,4
365,掠奪者任務,0.161,4350,7392,5,0
366,掠奪者任務,0.160,-2700,13440,0,5
367,掠奪者任務,0.160,-3190,13440,0,2
368,掠奪者任務,0.159,-2390,13440,2,2
369,掠奪者任務,0.158,-1810,13440,4,8
370,掠奪者任務,0.157,-2790,13440,0,0
371,掠奪者任務,0.157,-5560,13440,1,3
372,掠奪者任務,0.156,-3590,13440,1,2
373,掠奪者任務,0.155,-2190,13440,0,0
374,掠奪者任務,0.154,-3330,13440,0,3
375,掠奪者任務,0.153,-3690,13440,0,2
376,掠奪者任務,0.153,-2520,13440,2,1
377,掠奪者任務,0.152,4600,12208,6,5
378,掠奪者任務,0.151,-2850,13440,0,0
379,掠奪者任務,0.150,-2690,13440,2,1
380,掠奪者任務,0.150,-2490,13440,1,2
381,掠奪者任務,0.149,4210,8528,5,1
382,掠奪者任務,0.148,-2090,13440,1,1
383,掠奪者任務,0.147,-700,13440,0,0
384,掠奪者任務,0.147,-1790,13440,4,2
385,掠奪者任務,0.146,-1590,13440,2,2
386,掠奪者任務,0.145,-2560,13440,0,2
387,掠奪者任務,0.144,-2690,13440,0,0
388,掠奪者任務,0.144,-2490,13440,1,2
389,掠奪者任務,0.143,-2030,13440,2,4
390,掠奪者任務,0.142,-1190,13440,4,2
391,掠奪者任務,0.142,4410,11600,5,2
392,掠奪者任務,0.141,-2820,13440,0,1
393,掠奪者任務,0.140,-19920,13440,0,1
394,掠奪者任務,0.139,-2090,13440,1,1
395,掠奪者任務,0.139,-1820,13440,3,1
396,掠奪者任務,0.138,-2660,13440,0,1
397,掠奪者任務,0.137,4680,7680,5,1
398,掠奪者任務,0.137,-3390,13440,0,2
399,掠奪者任務,0.136,-1190,13440,3,2
400,掠奪者任務,0.135,-1660,13440,0,2
401,掠奪者任務,0.135,-2700,13440,0,5
402,掠奪者任務,0.134,-2750,13440,0,0
403,掠奪者任務,0.133,-2300,13440,0,1
404,掠奪者任務,0.133,-2120,13440,1,1
405,掠奪者任務,0.132,-2620,13440,0,0
406,掠奪者任務,0.131,-2590,13440,0,0
407,掠奪者任務,0.131,-2620,13440,4,1
408,掠奪者任務,0.130,-2790,13440,0,0
409,掠奪者任務,0.129,4600,12384,6,5
410,掠奪者任務,0.129,-3190,13440,1,1
411,掠奪者任務,0.128,-3450,13440,0,0
412,掠奪者任務,0.127,-3220,13440,0,1
413,掠奪者任務,0.127,4410,10672,5,1
414,掠奪者任務,0.126,-2890,13440,0,0
415,掠奪者任務,0.126,4300,12576,5,4
416,掠奪者任務,0.125,-2650,13440,0,0
417,掠奪者任務,0.124,-2420,13440,2,1
418,掠奪者任務,0.124,-2620,13440,0,1
419,掠奪者任務,0.123,4410,9200,5,2
420,掠奪者任務,0.122,-2650,13440,0,0
421,掠奪者任務,0.122,-2630,13440,0,4
422,掠奪者任務,0.121,-1970,13440,0,5
423,掠奪者任務,0.121,-2120,13440,0,0
424,掠奪者任務,0.120,-5550,13440,0,0
425,掠奪者任務,0.119,-2490,13440,0,2
426,掠奪者任務,0.119,-2120,13440,0,0
427,掠奪者任務,0.118,4410,11984,5,1
428,掠奪者任務,0.118,-2650,13440,0,0
429,掠奪者任務,0.117,-2720,13440,0,0
430,掠奪者任務,0.116,-1800,13440,2,5
431,掠奪者任務,0.116,-2760,13440,0,3
432,掠奪者任務,0.115,-1220,13440,3,1
433,掠奪者任務,0.115,-1320,13440,2,1
434,掠奪者任務,0.114,-4520,13440,1,0
435,掠奪者任務,0.114,-2490,13440,1,1
436,掠奪者任務,0.113,-2670,13440,0,5
437,掠奪者任務,0.112,-4090,13440,0,1
438,掠奪者任務,0.112,-2560,13440,0,2
439,掠奪者任務,0.111,-2520,13440,2,0
440,掠奪者任務,0.111,-2850,13440,0,0
441,掠奪者任務,0.110,-530,13440,3,4
442,掠奪者任務,0.110,-2690,13440,0,1
443,掠奪者任務,0.109,-2620,13440,0,0
444,掠奪者任務,0.109,-1760,13440,2,3
445,掠奪者任務,0.108,-1060,13440,3,2
446,掠奪者任務,0.107,-2120,13440,0,0
447,掠奪者任務,0.107,-2490,13440,1,2
448,掠奪者任務,0.106,-2860,13440,0,3
449,掠奪者任務,0.106,-2620,13264,0,0
450,掠奪者任務,0.105,-2090,13440,1,2
451,掠奪者任務,0.105,-2650,13440,0,0
452,掠奪者任務,0.104,-1690,13440,1,2
453,掠奪者任務,0.104,-8290,13440,2,1
454,掠奪者任務,0.103,-11730,13440,0,0
455,掠奪者任務,0.103,-2650,12864,0,0
456,掠奪者任務,0.102,-2790,13440,0,0
457,掠奪者任務,0.102,-2920,13440,0,0
458,掠奪者任務,0.101,-3000,13264,0,0
459,掠奪者任務,0.101,-1410,13440,2,8
460,掠奪者任務,0.100,-2420,13440,0,1
461,掠奪者任務,0.100,-3000,13344,0,0
462,掠奪者任務,0.099,-2620,13440,0,0
463,掠奪者任務,0.099,-1590,13440,3,0
464,掠奪者任務,0.098,-2160,13440,1,2
465,掠奪者任務,0.098,-1590,13440,4,2
466,掠奪者任務,0.097,-1720,13440,2,0
467,掠奪者任務,0.097,-1090,13440,3,2
468,掠奪者任務,0.096,-1360,13440,2,3
469,掠奪者任務,0.096,-2720,13440,0,1
470,掠奪者任務,0.095,-1620,13440,1,1
471,掠奪者任務,0.095,-2560,13440,3,3
472,掠奪者任務,0.094,-3000,11472,0,0
473,掠奪者任務,0.094,-2150,13440,0,0
474,掠奪者任務,0.093,-1970,13440,0,4
475,掠奪者任務,0.093,-2120,13440,0,1
476,掠奪者任務,0.092,-2120,13440,0,0
477,掠奪者任務,0.092,-1450,13440,2,0
478,掠奪者任務,0.092,-2060,13440,0,2
479,掠奪者任務,0.091,-2390,13440,1,2
480,掠奪者任務,0.091,-1650,13440,1,0
481,掠奪者任務,0.090,-4390,13440,0,0
