,0,1,2,3,4,5,6
"(1, 0, 0, 0, 0, 0, 1)",-0.4566512258802237,-1.0458211924459095,-0.5561704176579554,-0.4430787984139832,-0.650086676770254,-0.5680293570371068,-0.8566619116818965
"(1, 0, 0, 0, 0, 0, -14)",-0.013137926986460683,-0.013714812374778687,-0.013623552168489657,-0.012855531358527886,-0.013809857829723753,-0.01417874490915451,-0.013712864565524275
"(1, 0, 0, 0, 0, 0, 11)",0.08524063734160825,0.02074636352125011,0.007522425230382948,-0.005339600646431297,0.00757464695614617,0.004944878189255341,0.08398170521517788
"(1, 0, 0, 0, 0, 0, 8)",6.077920338453258,4.005177322364215,3.5586450478195033,6.030456794874466,3.6961184195145256,8.945884497868496,8.401556401232337
"(1, 0, 0, 0, 0, 0, -8)",-0.021457584933640434,-0.02144074322005879,-0.08985209982688204,-0.11391025060630106,-0.021792244278268515,-0.02213266269846481,-0.021599618101168575
"(1, 0, 0, 0, 0, 0, -7)",-0.05262247517121971,-0.06374936427802783,-0.06478111221958202,-0.06503971091940257,-0.058630492093767826,-0.06377133321525931,-0.06379804506690127
"(1, 0, 0, 0, 0, 0, -6)",-0.048190420017047986,-0.04398827168168763,-0.04379453860250845,-0.043871312948683155,-0.045172759790216115,-0.050707135452319654,-0.04837108267728371
"(0, 0, 0, 0, 0, 0, -6)",0.4894027232978856,0.1742444634640901,0.27127680890838796,0.12616067540308193,0.2593939932964298,0.21014384272337597,0.19340252999402513
"(0, 0, 0, 0, 0, 0, -5)",0.26746540188544315,0.040117415709441016,0.0648096187073417,0.08201245391558072,0.07034783808139375,0.26377114535074503,0.10588933514916349
"(1, 1, 0, 0, 0, 0, 11)",-0.0103843010562645,-0.0116808007027253,-0.0121066328445486,-0.0102940257306379,-0.0122216042872479,-0.0096690126937581,-0.0117113105353253
"(1, 1, 0, 0, 0, 0, 10)",-0.0594085910287548,-0.0597917640264514,-0.0598503091595713,-0.0590412683350692,-0.0601906661178832,-0.0582590830665414,-0.0580619132898498
"(1, 1, 0, 0, 0, 0, 6)",-0.2149105612165893,-0.2152727963843304,-0.21540037243137816,-0.21563479853011244,-0.21537155649877748,-0.21510782235256065,-0.21506451895925907
"(1, 1, 0, 0, 0, 0, 5)",-0.20770821949932222,-0.20881397218512804,-0.20785947119542028,-0.20769396125401854,-0.20745210203080974,-0.20797770341337307,-0.20807042310037796
"(1, 0, 0, 0, 0, 0, 5)",-0.19874268932003614,-0.19918995373058576,-0.1999862535011938,-0.19873380376746827,-0.19908483452755912,-0.19852767606407748,-0.1956916256352326
"(1, 0, 0, 0, 0, 0, 4)",-0.21137094060488149,-0.21022224304462173,-0.2116862474656131,-0.21000764656878906,-0.2114570507954993,-0.2108228350020588,-0.21019512502734025
"(0, 1, 0, 0, 0, 0, 4)",-0.0019970019995,-0.0014985005,-0.001983515495,-0.0014985005,-0.0019970019995,-0.0014985005,-0.001992510995
"(0, 1, 0, 0, 0, 0, -4)",0.001165537417026906,-0.0009050204036171,0.09524875086366529,0.12042458566756868,0.0010154230402858724,0.001334699617271368,-8.292673361844511e-05
"(0, 0, 0, 0, 0, 0, -4)",0.1018526902677848,0.051373200479841626,0.055743744700746965,0.14704814002832622,0.05213579272701097,0.10302670699252327,0.0065136288136216
"(1, 0, 0, 0, 0, 0, -4)",-0.02019827461421891,-0.020454662968727735,-0.021447314739838456,-0.020283555801880293,-0.0201900954514837,-0.019882429439736112,-0.02032419668271173
"(1, 0, 0, 0, 0, 0, -3)",-0.015949863991567788,-0.020806249361930672,-0.02058969640876446,-0.022092923359763976,-0.02168988751816175,-0.022357869867018525,-0.02016754148864365
"(0, 0, 0, 0, 0, 0, -3)",0.0003503278045646464,0.28404467299321945,-0.0001613548523187,0.0623217027098465,-0.0009475867786553,0.003941089434870032,0.14734608284742812
