Time,Minerals,Vespene,Workers,Ideal,Action
3136.0,1215,0,17,16,REASSIGN_IDLE
3152.0,1230,0,17,16,REASSIGN_IDLE
3168.0,1240,0,17,16,REASSIGN_IDLE
3184.0,1245,0,17,16,REASSIGN_IDLE
3200.0,1265,0,17,16,REASSIGN_IDLE
3216.0,1265,0,17,16,REASSIGN_IDLE
3232.0,1275,0,17,16,REASSIGN_IDLE
3248.0,1300,0,17,16,REASSIGN_IDLE
3264.0,1305,0,17,16,REASSIGN_IDLE
3280.0,1310,0,17,16,REASSIGN_IDLE
3296.0,1325,0,17,16,REASSIGN_IDLE
3312.0,1335,0,17,16,REASSIGN_IDLE
3328.0,1340,0,17,16,REASSIGN_IDLE
3344.0,1350,0,17,16,REASSIGN_IDLE
3360.0,1365,0,17,16,REASSIGN_IDLE
3376.0,1375,0,17,16,REASSIGN_IDLE
3392.0,1385,0,17,16,REASSIGN_IDLE
3408.0,1395,0,17,16,REASSIGN_IDLE
3424.0,1405,0,17,16,REASSIGN_IDLE
3440.0,1410,0,17,16,REASSIGN_IDLE
3456.0,1415,0,17,16,REASSIGN_IDLE
3472.0,1440,0,17,16,REASSIGN_IDLE
3488.0,1445,0,17,16,REASSIGN_IDLE
3504.0,1450,0,17,16,REASSIGN_IDLE
3520.0,1470,0,17,16,REASSIGN_IDLE
3536.0,1475,0,17,16,REASSIGN_IDLE
3552.0,1485,0,17,16,REASSIGN_IDLE
3568.0,1490,0,17,16,REASSIGN_IDLE
3584.0,1510,0,17,16,REASSIGN_IDLE
3600.0,1515,0,17,16,REASSIGN_IDLE
3616.0,1525,0,17,16,REASSIGN_IDLE
3632.0,1545,0,17,16,REASSIGN_IDLE
3648.0,1550,0,17,16,REASSIGN_IDLE
3664.0,1560,0,17,16,REASSIGN_IDLE
3680.0,1565,0,17,16,REASSIGN_IDLE
3696.0,1580,0,17,16,REASSIGN_IDLE
3712.0,1585,0,17,16,REASSIGN_IDLE
3728.0,1600,0,17,16,REASSIGN_IDLE
3744.0,1615,0,17,16,REASSIGN_IDLE
3760.0,1625,0,17,16,REASSIGN_IDLE
3776.0,1625,0,17,16,REASSIGN_IDLE
3792.0,1650,0,17,16,REASSIGN_IDLE
3808.0,1650,0,17,16,REASSIGN_IDLE
3824.0,1660,0,17,16,REASSIGN_IDLE
3840.0,1670,0,17,16,REASSIGN_IDLE
3856.0,1685,0,17,16,REASSIGN_IDLE
3872.0,1695,0,17,16,REASSIGN_IDLE
3888.0,1700,0,17,16,REASSIGN_IDLE
3904.0,1720,0,17,16,REASSIGN_IDLE
3920.0,1725,0,17,16,REASSIGN_IDLE
3936.0,1725,0,17,16,REASSIGN_IDLE
3952.0,1745,0,17,16,REASSIGN_IDLE
3968.0,1755,0,17,16,REASSIGN_IDLE
3984.0,1760,0,17,16,REASSIGN_IDLE
4000.0,1770,0,17,16,REASSIGN_IDLE
4016.0,1790,0,17,16,REASSIGN_IDLE
4032.0,1795,0,17,16,REASSIGN_IDLE
4048.0,1800,0,17,16,REASSIGN_IDLE
4064.0,1815,0,17,16,REASSIGN_IDLE
4080.0,1825,0,17,16,REASSIGN_IDLE
4096.0,1835,0,17,16,REASSIGN_IDLE
4112.0,1850,0,17,16,REASSIGN_IDLE
4128.0,1860,0,17,16,REASSIGN_IDLE
4144.0,1870,0,17,16,REASSIGN_IDLE
4160.0,1875,0,17,16,REASSIGN_IDLE
4176.0,1895,0,17,16,REASSIGN_IDLE
4192.0,1900,0,17,16,REASSIGN_IDLE
4208.0,1900,0,17,16,REASSIGN_IDLE
4224.0,1915,0,17,16,REASSIGN_IDLE
4240.0,1935,0,17,16,REASSIGN_IDLE
4256.0,1940,0,17,16,REASSIGN_IDLE
4272.0,1955,0,17,16,REASSIGN_IDLE
4288.0,1965,0,17,16,REASSIGN_IDLE
4304.0,1970,0,17,16,REASSIGN_IDLE
4320.0,1975,0,17,16,REASSIGN_IDLE
4336.0,1990,0,17,16,REASSIGN_IDLE
4352.0,2005,0,17,16,REASSIGN_IDLE
4368.0,2010,0,17,16,REASSIGN_IDLE
4384.0,2030,0,17,16,REASSIGN_IDLE
4400.0,2035,0,17,16,REASSIGN_IDLE
4416.0,2045,0,17,16,REASSIGN_IDLE
4432.0,2045,0,17,16,REASSIGN_IDLE
4448.0,2065,0,17,16,REASSIGN_IDLE
4464.0,2080,0,17,16,REASSIGN_IDLE
4480.0,2080,0,17,16,REASSIGN_IDLE
4496.0,2095,0,17,16,REASSIGN_IDLE
4512.0,2110,0,17,16,REASSIGN_IDLE
4528.0,2110,0,17,16,REASSIGN_IDLE
4544.0,2125,0,17,16,REASSIGN_IDLE
4560.0,2135,0,17,16,REASSIGN_IDLE
4576.0,2140,0,17,16,REASSIGN_IDLE
4592.0,2160,0,17,16,REASSIGN_IDLE
4608.0,2165,0,17,16,REASSIGN_IDLE
4624.0,2180,0,17,16,REASSIGN_IDLE
4640.0,2185,0,17,16,REASSIGN_IDLE
4656.0,2195,0,17,16,REASSIGN_IDLE
4672.0,2210,0,17,16,REASSIGN_IDLE
4688.0,2210,0,17,16,REASSIGN_IDLE
4704.0,2230,0,17,16,REASSIGN_IDLE
4720.0,2245,0,17,16,REASSIGN_IDLE
4736.0,2245,0,17,16,REASSIGN_IDLE
4752.0,2255,0,17,16,REASSIGN_IDLE
4768.0,2265,0,17,16,REASSIGN_IDLE
4784.0,2280,0,17,16,REASSIGN_IDLE
4800.0,2285,0,17,16,REASSIGN_IDLE
4816.0,2300,0,17,16,REASSIGN_IDLE
4832.0,2315,0,17,16,REASSIGN_IDLE
4848.0,2320,0,17,16,REASSIGN_IDLE
4864.0,2325,0,17,16,REASSIGN_IDLE
4880.0,2345,0,17,16,REASSIGN_IDLE
4896.0,2355,0,17,16,REASSIGN_IDLE
4912.0,2360,0,17,16,REASSIGN_IDLE
4928.0,2370,0,17,16,REASSIGN_IDLE
4944.0,2385,0,17,16,REASSIGN_IDLE
4960.0,2390,0,17,16,REASSIGN_IDLE
4976.0,2400,0,17,16,REASSIGN_IDLE
4992.0,2420,0,17,16,REASSIGN_IDLE
5008.0,2425,0,17,16,REASSIGN_IDLE
5024.0,2435,0,17,16,REASSIGN_IDLE
5040.0,2445,0,17,16,REASSIGN_IDLE
5056.0,2450,0,17,16,REASSIGN_IDLE
5072.0,2465,0,17,16,REASSIGN_IDLE
5088.0,2475,0,17,16,REASSIGN_IDLE
5104.0,2485,0,17,16,REASSIGN_IDLE
5120.0,2495,0,17,16,REASSIGN_IDLE
5136.0,2510,0,17,16,REASSIGN_IDLE
