Time,Minerals,Vespene,Supply,Marauders,Action_ID
5788.0,45,600,14,0,0
5790.0,45,600,14,0,2
5792.0,45,600,14,0,5
5794.0,45,600,14,0,4
5796.0,45,604,14,0,3
5798.0,45,604,14,0,6
5800.0,45,604,14,0,3
5802.0,45,604,14,0,6
5804.0,45,604,14,0,1
5806.0,45,604,14,0,3
5808.0,45,604,14,0,2
5810.0,45,604,14,0,0
5812.0,45,604,14,0,4
5814.0,45,604,14,0,7
5816.0,45,604,14,0,1
5818.0,45,604,14,0,6
5820.0,45,604,14,0,0
5822.0,45,604,14,0,1
5824.0,45,604,14,0,0
5826.0,45,604,14,0,0
5828.0,45,604,14,0,1
5830.0,45,608,14,0,3
5832.0,45,608,14,0,1
5834.0,45,608,14,0,0
5836.0,45,608,14,0,1
5838.0,45,608,14,0,4
5840.0,45,608,14,0,5
5842.0,45,608,14,0,5
5844.0,45,608,14,0,0
5846.0,45,608,14,0,0
5848.0,45,608,14,0,1
5850.0,45,608,14,0,1
5852.0,45,608,14,0,4
5854.0,45,608,14,0,6
5856.0,45,608,14,0,3
5858.0,45,608,14,0,5
5860.0,45,608,14,0,4
5862.0,45,608,14,0,1
5864.0,45,608,14,0,4
5866.0,45,608,14,0,5
5868.0,45,608,14,0,5
5870.0,45,608,14,0,6
5872.0,45,608,14,0,3
5874.0,45,608,14,0,3
5876.0,45,608,14,0,2
5878.0,45,608,14,0,4
5880.0,45,608,14,0,2
5882.0,45,608,14,0,5
5884.0,45,608,14,0,2
5886.0,45,608,14,0,7
5888.0,45,608,14,0,7
5890.0,45,608,14,0,6
5892.0,45,608,14,0,2
5894.0,45,608,14,0,5
5896.0,45,612,14,0,6
5898.0,45,612,14,0,3
5900.0,45,612,14,0,4
5902.0,45,612,14,0,3
5904.0,45,612,14,0,0
5906.0,45,612,14,0,1
5908.0,45,612,14,0,4
5910.0,45,616,14,0,4
5912.0,45,616,14,0,3
5914.0,45,616,14,0,0
5916.0,45,616,14,0,7
5918.0,45,616,14,0,2
5920.0,45,616,14,0,2
5922.0,45,616,14,0,1
5924.0,45,616,14,0,1
5926.0,45,616,14,0,6
5928.0,45,616,14,0,7
5930.0,45,620,14,0,5
5932.0,45,620,14,0,0
5934.0,45,620,14,0,2
5936.0,45,620,14,0,5
5938.0,45,620,14,0,3
5940.0,45,620,14,0,1
5942.0,45,620,14,0,7
5944.0,45,620,14,0,3
5946.0,45,620,14,0,0
5948.0,45,620,14,0,7
5950.0,45,620,14,0,1
5952.0,45,620,14,0,5
5954.0,45,620,14,0,3
5956.0,45,620,14,0,6
5958.0,45,620,14,0,6
5960.0,45,620,14,0,5
5962.0,45,624,14,0,0
5964.0,45,624,14,0,6
5966.0,45,624,14,0,1
5968.0,45,624,14,0,0
5970.0,45,624,14,0,4
5972.0,45,624,14,0,5
5974.0,45,624,14,0,4
5976.0,45,624,14,0,3
5978.0,45,624,14,0,4
5980.0,45,624,14,0,5
5982.0,45,624,14,0,2
5984.0,45,624,14,0,6
5986.0,45,624,14,0,2
5988.0,45,624,14,0,2
5990.0,45,624,14,0,7
5992.0,45,624,14,0,5
5994.0,45,628,14,0,1
5996.0,45,628,14,0,4
5998.0,45,628,14,0,4
6000.0,45,628,14,0,7
6002.0,45,628,14,0,7
6004.0,45,628,14,0,3
6006.0,45,628,14,0,7
6008.0,45,628,14,0,7
6010.0,45,628,14,0,4
6012.0,45,628,14,0,4
6014.0,45,628,14,0,1
6016.0,45,628,14,0,7
6018.0,45,628,14,0,7
6020.0,45,628,14,0,2
6022.0,45,628,14,0,1
6024.0,45,628,14,0,4
