Time,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
6112.0,3100,0,12,16,0,42
6128.0,3100,0,12,16,0,42
6144.0,3125,0,12,16,0,41
6160.0,3135,0,12,16,0,42
6176.0,3140,0,12,16,0,42
6192.0,3155,0,12,16,0,41
6208.0,3155,0,12,16,0,42
6224.0,3160,0,12,16,0,42
6240.0,3160,0,12,16,0,41
6256.0,3175,0,12,16,0,41
6272.0,3190,0,12,16,0,42
6288.0,3195,0,12,16,0,41
6304.0,3205,0,12,16,0,42
6320.0,3215,0,12,16,0,41
6336.0,3220,0,12,16,0,42
6352.0,3220,0,12,16,0,42
6368.0,3235,0,12,16,0,42
6384.0,3240,0,12,16,0,41
6400.0,3255,0,12,16,0,42
6416.0,3260,0,12,16,0,42
6432.0,3265,0,12,16,0,42
6448.0,3275,0,12,16,0,42
6464.0,3290,0,12,16,0,42
6480.0,3295,0,12,16,0,42
6496.0,3295,0,12,16,0,41
6512.0,3300,0,12,16,0,41
6528.0,3320,0,12,16,0,42
6544.0,3325,0,12,16,0,41
6560.0,3325,0,12,16,0,42
6576.0,3350,0,12,16,0,42
6592.0,3355,0,12,16,0,42
6608.0,3355,0,12,16,0,42
6624.0,3365,0,12,16,0,42
6640.0,3365,0,12,16,0,41
6656.0,3380,0,12,16,0,41
6672.0,3390,0,12,16,0,41
6688.0,3400,0,12,16,0,41
6704.0,3415,0,12,16,0,41
6720.0,3415,0,12,16,0,42
6736.0,3425,0,12,16,0,41
6752.0,3425,0,12,16,0,41
6768.0,3430,0,12,16,0,41
6784.0,3445,0,12,16,0,41
6800.0,3460,0,12,16,0,41
6816.0,3470,0,12,16,0,42
6832.0,3475,0,12,16,0,42
6848.0,3480,0,12,16,0,42
6864.0,3485,0,12,16,0,41
6880.0,3490,0,12,16,0,42
6896.0,3495,0,12,16,0,42
6912.0,3515,0,12,16,0,41
6928.0,3525,0,12,16,0,42
6944.0,3530,0,12,16,0,42
6960.0,3540,0,12,16,0,42
6976.0,3550,0,12,16,0,42
6992.0,3550,0,12,16,0,42
7008.0,3555,0,12,16,0,42
7024.0,3570,0,12,16,0,42
7040.0,3575,0,12,16,0,42
7056.0,3585,0,12,16,0,42
7072.0,3595,0,12,16,0,41
7088.0,3605,0,12,16,0,41
7104.0,3610,0,12,16,0,42
7120.0,3615,0,12,16,0,42
7136.0,3620,0,12,16,0,41
7152.0,3630,0,12,16,0,42
7168.0,3640,0,12,16,0,42
7184.0,3655,0,12,16,0,42
7200.0,3660,0,12,16,0,41
7216.0,3670,0,12,16,0,41
7232.0,3680,0,12,16,0,42
7248.0,3680,0,12,16,0,41
7264.0,3680,0,12,16,0,42
7280.0,3695,0,12,16,0,41
7296.0,3715,0,12,16,0,42
7312.0,3715,0,12,16,0,42
7328.0,3720,0,12,16,0,41
7344.0,3740,0,12,16,0,41
7360.0,3740,0,12,16,0,41
7376.0,3740,0,12,16,0,42
7392.0,3750,0,12,16,0,41
7408.0,3765,0,12,16,0,42
7424.0,3775,0,12,16,0,41
7440.0,3775,0,12,16,0,41
7456.0,3795,0,12,16,0,41
7472.0,3800,0,12,16,0,41
7488.0,3805,0,12,16,0,42
7504.0,3810,0,12,16,0,41
7520.0,3815,0,12,16,0,42
7536.0,3825,0,12,16,0,42
7552.0,3840,0,12,16,0,41
7568.0,3850,0,12,16,0,42
7584.0,3855,0,12,16,0,41
7600.0,3865,0,12,16,0,41
7616.0,3870,0,12,16,0,41
7632.0,3870,0,12,16,0,41
7648.0,3880,0,12,16,0,41
7664.0,3890,0,12,16,0,41
7680.0,3905,0,12,16,0,41
7696.0,3920,0,12,16,0,42
7712.0,3920,0,12,16,0,41
7728.0,3930,0,12,16,0,41
7744.0,3930,0,12,16,0,42
7760.0,3935,0,12,16,0,42
7776.0,3950,0,12,16,0,42
7792.0,3955,0,12,16,0,42
7808.0,3975,0,12,16,0,42
7824.0,3985,0,12,16,0,41
7840.0,3985,0,12,16,0,41
7856.0,3990,0,12,16,0,42
7872.0,3990,0,12,16,0,41
7888.0,4005,0,12,16,0,42
7904.0,4020,0,12,16,0,42
7920.0,4025,0,12,16,0,42
7936.0,4040,0,12,16,0,41
7952.0,4045,0,12,16,0,42
