,0,1,2,3,4,5,6
"(1, 0, 0, 0, 0, 0, -9)",-0.0122487351552406,-0.010837391659810063,-0.010884968360088853,-0.012263032801451374,-0.013282880767382347,-0.011858985024050462,-0.012243044193064415
"(0, 0, 0, 0, 0, 0, -17)",-0.0005,-0.000995,-0.0006172031295499999,-0.0005,-0.0009995,-0.000995,0.048455995
"(1, 0, 0, 0, 0, 0, -17)",-0.0014985005,-0.0014985005,-0.0014985005,-0.0014985005,-0.00198806045,-0.0014985005,-0.00153801995
"(0, 0, 0, 0, 0, 0, -16)",-0.0005,-0.0005,0.0,-0.0005,-0.0005,-0.0005,0.0
"(1, 0, 0, 0, 0, 0, 6)",-0.15940134155511645,-0.1523807913755642,-0.15471780588396233,-0.15188744841570465,-0.1544409401022811,-0.15791449568273938,-0.15445882631795677
"(1, 0, 0, 0, 0, 0, -11)",-0.004946556295382342,-0.003986027965027986,-0.0039952808078836145,-0.003978868904161933,-0.003981554897617918,-0.003959584447950599,-0.003959101913469143
"(0, 0, 0, 0, 0, 0, -9)",-0.003168431093246912,0.04051544873810126,-0.00329154749331777,-0.0035883190680648836,-0.003732920165742343,-0.0032529026207213374,-0.0031104502724357396
"(0, 0, 0, 0, 0, 0, 6)",-0.00028142113961527866,0.046592048021227864,-0.0004021540761403212,0.04618907165619677,-5.4700639590339954e-05,0.045392515115588575,-0.0005619375830924057
"(0, 0, 0, 0, 0, 0, 5)",0.0,0.0,0.1931412485679353,0.001238271237111418,0.0,0.0491985917630467,0.048764848835484424
"(0, 0, 0, 0, 0, 0, 4)",0.04669993636259067,0.0013704429533540647,0.006476281907938924,0.13617901893574777,0.0022011785170329315,0.049045691207124,0.0041031657739268885
"(0, 0, 0, 0, 0, 0, -14)",0.021674060028791225,-0.0025561633400884363,-0.00232576011559406,-0.003142289790265372,0.04788094621355043,-0.002027637236393602,-0.002450909668680308
"(1, 0, 0, 0, 0, 0, -13)",-0.0049510067804149965,-0.003972648616617937,-0.004473106182136984,-0.005405813476526408,-0.0034895174825104965,-0.004433232940270489,-0.004472905854014519
"(1, 0, 0, 0, 0, 0, -12)",-0.0024949229124609494,-0.003480359012152359,-0.0029834076645522405,-0.003967892787335799,-0.002539901219143739,-0.003480359012152359,-0.0029879466868319936
"(0, 0, 0, 0, 0, 0, -11)",-0.0011830273877231723,-0.000995,-0.000995,-0.0005,-0.0009995,0.0468883671462816,-0.0005
"(0, 0, 0, 0, 0, 0, -10)",-0.0024905184840050003,-0.0019970019995,-0.003462795310128301,-0.0019970019995,-0.0019970019995,-0.00198365,-0.0024905184840050003
"(0, 0, 0, 0, 0, 0, -2)",0.0013532919944096093,0.0019833540630686095,0.003266406011751202,0.0037338942157298547,-0.017002621889464217,0.130052130971833,0.0006340437086602126
"(1, 1, 0, 0, 0, 0, 4)",-0.20919049922957741,-0.2100574699555673,-0.209429582179253,-0.20892931378425142,-0.20922985123517518,-0.20900201836887727,-0.21141140898371857
"(1, 1, 0, 0, 0, 0, 3)",-0.24084959347947646,-0.24017689602909548,-0.23799557333338994,-0.24012759933540506,-0.23710685158179545,-0.23925982942994709,-0.23807866030912098
"(1, 1, 0, 0, 0, 0, 2)",-0.20560097503340802,-0.21641576945359578,-0.20677352863478732,-0.204899019319637,-0.20705393987390808,-0.2053246798068151,-0.20757495292059494
"(1, 1, 0, 0, 0, 0, 1)",-0.6396695739860071,-0.9837214791928851,-0.5006386049091012,-0.43568820956336707,-0.40370944638687833,-0.49543444735909814,-0.4279292455245222
