9280.0,4825,728,23,0,0,34,95
9296.0,4830,732,23,0,0,45,95
9312.0,4855,732,23,0,0,34,95
9328.0,4860,732,23,0,0,34,95
9344.0,4865,736,23,0,0,45,95
9360.0,4890,736,23,0,0,34,95
9376.0,4895,736,23,0,0,45,95
9392.0,4905,740,23,0,0,34,95
9408.0,4920,740,23,0,0,45,95
9424.0,4930,744,23,0,0,34,95
9440.0,4945,744,23,0,0,45,95
9456.0,4955,744,23,0,0,34,95
9472.0,4960,748,23,0,0,34,95
9488.0,4985,748,23,0,0,34,95
9504.0,4990,748,23,0,0,45,95
9520.0,4990,752,23,0,0,2,95
9536.0,5020,752,23,0,0,45,95
9552.0,5025,752,23,0,0,34,95
9568.0,5025,756,23,0,0,45,95
9584.0,5055,756,23,0,0,34,95
9600.0,5060,760,23,0,0,34,95
9616.0,5065,760,23,0,0,45,95
9632.0,5085,760,23,0,0,34,95
9648.0,5095,764,23,0,0,45,95
9664.0,5100,764,23,0,0,34,95
9680.0,5125,764,23,0,0,45,95
9696.0,5130,768,23,0,0,34,95
9712.0,5140,768,23,0,0,45,95
9728.0,5155,768,23,0,0,34,95
9744.0,5165,772,23,0,0,45,95
9760.0,5175,772,23,0,0,34,95
9776.0,5190,776,23,0,0,34,95
9792.0,5195,776,23,0,0,34,95
9808.0,5215,776,23,0,0,45,95
9824.0,5225,780,23,0,0,2,95
9840.0,5225,780,23,0,0,45,95
9856.0,5255,780,23,0,0,34,95
9872.0,5260,784,23,0,0,45,95
9888.0,5260,784,23,0,0,34,95
9904.0,5290,784,23,0,0,34,95
9920.0,5295,788,23,0,0,45,95
9936.0,5295,788,23,0,0,34,95
9952.0,5325,792,23,0,0,45,95
9968.0,5330,792,23,0,0,34,95
9984.0,5335,792,23,0,0,45,95
10000.0,5350,796,23,0,0,34,95
10016.0,5365,796,23,0,0,45,95
10032.0,5370,796,23,0,0,34,95
10048.0,5390,800,23,0,0,45,95
10064.0,5400,800,23,0,0,34,95
10080.0,5405,800,23,0,0,45,95
10096.0,5425,804,23,0,0,34,95
10112.0,5435,804,23,0,0,45,95
10128.0,5445,808,23,0,0,2,95
10144.0,5460,808,23,0,0,45,95
10160.0,5465,808,23,0,0,34,95
10176.0,5480,812,23,0,0,45,95
10192.0,5495,812,23,0,0,34,95
10208.0,5495,812,23,0,0,34,95
10224.0,5525,816,23,0,0,45,95
10240.0,5530,816,23,0,0,2,95
