Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID,P_ID
2688.0,175,172,19,0,1,34,15
2704.0,175,172,19,0,1,1,15
2720.0,175,176,19,0,1,34,81
2736.0,190,176,20,0,1,45,99
2752.0,205,180,20,0,1,1,36
2768.0,210,180,20,0,1,34,18
2784.0,115,184,20,0,1,1,47
2800.0,130,184,20,0,1,34,15
2816.0,140,184,20,0,1,34,71
2832.0,140,188,20,0,1,34,15
2848.0,150,188,20,0,1,1,61
2864.0,175,192,20,0,1,1,29
2880.0,175,192,20,0,1,2,38
2896.0,185,196,20,0,1,34,15
2912.0,185,196,20,0,1,34,15
2928.0,205,200,20,0,1,34,15
2944.0,205,200,20,0,1,1,11
2960.0,220,204,20,0,1,1,61
2976.0,225,204,20,0,1,34,15
2992.0,245,208,20,0,1,34,15
3008.0,255,208,21,0,1,2,86
3024.0,255,212,21,0,1,34,15
3040.0,260,212,21,0,1,34,15
3056.0,285,216,21,0,1,2,92
3072.0,285,216,21,0,1,34,15
3088.0,290,220,21,0,1,1,28
3104.0,310,220,21,0,1,1,18
3120.0,320,224,21,0,1,2,15
3136.0,225,224,21,0,1,1,52
3152.0,225,228,21,0,1,1,82
3168.0,195,228,21,0,1,2,3
3184.0,205,232,21,0,1,34,15
3200.0,210,232,21,0,1,34,15
3216.0,225,236,21,0,1,2,63
3232.0,235,236,21,0,1,34,65
3248.0,250,240,21,0,1,41,15
3264.0,250,240,21,0,1,41,15
3280.0,260,244,22,0,1,41,15
3296.0,275,244,22,0,1,34,36
3312.0,280,248,22,0,1,34,15
3328.0,295,248,22,0,1,41,15
3344.0,300,248,22,0,1,41,15
3360.0,310,252,22,0,1,41,15
3376.0,330,252,22,0,1,41,15
3392.0,340,256,22,0,1,34,76
3408.0,350,256,22,0,1,45,22
3424.0,365,260,22,0,1,2,28
3440.0,375,260,22,0,1,41,15
3456.0,380,264,22,0,1,41,15
3472.0,240,264,22,0,1,2,71
3488.0,260,268,22,0,1,45,15
3504.0,265,268,22,0,1,2,15
3520.0,270,272,22,0,1,2,15
3536.0,285,272,22,0,1,2,15
3552.0,295,276,23,0,2,2,15
3568.0,305,276,23,0,2,2,15
3584.0,315,280,23,0,3,2,15
3600.0,325,280,23,0,3,45,95
3616.0,345,284,23,0,3,34,98
3632.0,350,284,23,0,3,34,15
3648.0,360,288,23,0,3,45,15
3664.0,380,288,23,0,3,34,34
3680.0,380,292,23,0,3,45,15
3696.0,395,292,23,0,3,34,15
3712.0,410,296,23,0,3,45,15
3728.0,415,296,23,0,3,34,18
