Episode,Task,Epsilon,Total_Reward,End_Loop,Marauders,Marines
504,掠奪者任務,0.080,-521,13440,0,6
505,掠奪者任務,0.080,6285,11808,5,6
506,掠奪者任務,0.080,5567,10992,5,1
507,掠奪者任務,0.079,779,13440,2,6
508,掠奪者任務,0.079,1548,13440,4,2
509,掠奪者任務,0.078,5619,9216,5,2
510,掠奪者任務,0.078,6172,10720,5,4
511,掠奪者任務,0.078,6303,11552,6,3
512,掠奪者任務,0.077,5516,9168,5,0
513,掠奪者任務,0.077,6057,9744,5,1
514,掠奪者任務,0.076,5914,12976,5,9
515,掠奪者任務,0.076,5579,9616,5,1
516,掠奪者任務,0.076,6172,12192,5,3
517,掠奪者任務,0.075,6092,12080,5,2
518,掠奪者任務,0.075,52,13440,1,2
519,掠奪者任務,0.075,125,13440,0,2
520,掠奪者任務,0.074,-287,13440,0,5
521,掠奪者任務,0.074,-718,13440,0,1
522,掠奪者任務,0.073,-548,13440,0,0
523,掠奪者任務,0.073,6177,13280,5,4
524,掠奪者任務,0.073,5603,12816,5,2
525,掠奪者任務,0.072,5556,8992,5,1
526,掠奪者任務,0.072,5497,13360,5,0
527,掠奪者任務,0.072,63,13440,0,0
528,掠奪者任務,0.071,64,13440,1,0
529,掠奪者任務,0.071,373,13440,1,12
530,掠奪者任務,0.071,-186,13440,0,7
531,掠奪者任務,0.070,-790,13440,0,2
532,掠奪者任務,0.070,5949,11968,6,12
533,掠奪者任務,0.069,-535,13440,0,7
534,掠奪者任務,0.069,5544,7840,5,0
535,掠奪者任務,0.069,-242,13440,0,7
536,掠奪者任務,0.068,-519,13440,0,7
537,掠奪者任務,0.068,-516,13440,0,4
538,掠奪者任務,0.068,5787,10592,5,6
539,掠奪者任務,0.067,1528,13440,0,0
540,掠奪者任務,0.067,6270,13216,7,6
541,掠奪者任務,0.067,289,13440,1,22
542,掠奪者任務,0.066,-692,13440,0,2
543,掠奪者任務,0.066,5547,8912,5,0
544,掠奪者任務,0.066,815,13440,2,21
545,掠奪者任務,0.065,5785,12080,5,7
546,掠奪者任務,0.065,-421,13440,0,19
547,掠奪者任務,0.065,104,13440,1,4
548,掠奪者任務,0.064,-430,13440,0,12
549,掠奪者任務,0.064,5890,11664,5,7
550,掠奪者任務,0.064,-551,13440,0,6
551,掠奪者任務,0.063,-435,13440,0,1
552,掠奪者任務,0.063,-316,13440,0,13
553,掠奪者任務,0.063,-12,13440,0,10
554,掠奪者任務,0.063,-383,13440,0,15
555,掠奪者任務,0.062,-459,13440,0,8
556,掠奪者任務,0.062,232,13440,1,23
557,掠奪者任務,0.062,-423,13440,0,14
558,掠奪者任務,0.061,-654,13440,0,4
559,掠奪者任務,0.061,887,13440,1,8
560,掠奪者任務,0.061,1315,13440,3,22
561,掠奪者任務,0.060,428,13440,1,13
562,掠奪者任務,0.060,1889,13440,4,7
563,掠奪者任務,0.060,-382,13440,0,12
564,掠奪者任務,0.059,849,13440,2,15
565,掠奪者任務,0.059,-443,13440,0,14
566,掠奪者任務,0.059,-69,13440,0,13
567,掠奪者任務,0.059,813,13440,2,18
568,掠奪者任務,0.058,-427,13440,0,15
569,掠奪者任務,0.058,854,13440,2,20
570,掠奪者任務,0.058,259,13440,1,6
571,掠奪者任務,0.057,-107,13440,0,14
572,掠奪者任務,0.057,-84,13440,0,10
573,掠奪者任務,0.057,820,13440,2,23
574,掠奪者任務,0.057,-72,13440,0,12
575,掠奪者任務,0.056,873,13440,2,16
576,掠奪者任務,0.056,-398,13440,0,12
577,掠奪者任務,0.056,5965,10672,5,9
578,掠奪者任務,0.055,-470,13440,0,15
579,掠奪者任務,0.055,5882,11728,5,7
580,掠奪者任務,0.055,-143,13440,0,15
581,掠奪者任務,0.055,-438,13440,0,15
582,掠奪者任務,0.054,-1101,12544,0,0
